x,z
0,0
2000,0.003770643
4000,0.012699161
6000,0.024187403
8000,0.036594161
10000,0.048917527
12000,0.06057798
14000,0.071270953
16000,0.080867247
18000,0.089346262
20000,0.096751697
22000,0.103162529
24000,0.108674348
26000,0.11338766
28000,0.117400823
30000,0.120806039
32000,0.12368733
34000,0.126119764
36000,0.128169447
38000,0.129893973
40000,0.131343103
42000,0.132559554
44000,0.133579813
46000,0.134434915
48000,0.135151174
50000,0.135750841
52000,0.136252691
